Species,Year,BperH,BperHday,EstDays
SAGR,2018,1.62,0.72,2.25170765
SAGR,2019,1.40,0.61,2.295081967
SAGR,2020,1.59,0.72,2.208333333
BLGR,2018,1.77,0.67,2.636734694
BLGR,2019,1.30,0.50,2.6
BLGR,2020,1.31,0.49,2.673469388
PHEA,2018,4.54,0.92,4.934782609
PHEA,2019,4.16,0.84,4.952380952
PHEA,2020,3.23,0.72,4.486111111
CHUK,2018,5.62,1.25,4.499489362
CHUK,2019,6.18,1.41,4.382978723
CHUK,2020,5.77,1.25,4.616
HUPA,2018,3.43,0.72,4.768207668
HUPA,2019,3.20,0.69,4.637681159
HUPA,2020,3.87,0.79,4.898734177
CAQU,2018,6.34,1.63,3.892026439
CAQU,2019,6.27,1.66,3.777108434
CAQU,2020,5.77,1.44,4.006944444
,,,,
