Year,Double_H,Santa_Rosa,Pine_Forest,Jackson,Sonoma,Lava_Beds,Selenite,Buffalo_Hills,Granites,Argenta,Izzenhood,Rock_Creek,Sheep_Creek
1990,62,76,57,168,64,47,8,35,17,69,NA,115,NA
1991,23,51,59,134,3,26,7,46,23,33,NA,56,NA
1992,26,40,90,76,2,14,7,41,41,25,NA,36,NA
1993,6,6,51,42.00,7,16,6,4,4,20,23,27,17
1994,21,13,80,66,18,37,11,22,22,20,23,86,28
1995,32,17,41,55,19,57,11,23,23,62,16,68,29
1996,18,20,61,54,34,52,5,62,62,26,15,97,18
1997,32,11,NA,109,NA,NA,NA,NA,NA,26,11,54,42
1998,18,45,44,140,37,61,11,31,31,46,13,39,58
1999,77,102,59,258,125,125,25,67,67,48,6,74,112
2000,39,59,81,156,49,44,17,46,46,37,11,92,53
2001,81,85,130,109,31,41,31,32,32,35,23,56,58
2008,32,61,61,15,112,60,33,70,70,9,25,39,3
2009,49,41,195,82,104,70,21,58,58,28,32,21,7
2010,62,87,109,56,66,46,31,76,76,40,37,46,17
2011,59,37,108,130,167,129,103,77,77,62,59,48,37
2012,49,33,89,47,150,77,25,NA,NA,33,59,87,38
2013,36,44,136,18,58,49,49,29,29,17,19,17,23
2014,59,61,83,75,71,80,66,71,71,28,35,28,36
2015,47,76,107,59,62,48,35,74,74,24,47,47,21
2016,77,26,74,69,48,90,46,88,88,54,35,43,39
2017,37,8,145,38,NA,NA,NA,90,90,41,20,19,15
