Survey Location,Hunt Unit,COUNTY,NDOWREGION,PMU_NAME,PLANNINGUNIT,BSU
Double_H,,Humboldt,Western,Lone Willow,North Central,Lone Willow
Santa_Rosa,,Humboldt,Western,Santa Rosa,North Central,Owyhee
Pine_Forest,,Humboldt,Western,Pine Forest,North Central,Black Rock
Jackson,,Humboldt,Western,Jackson,North Central,Black Rock
Sonoma,,Pershing,Western,Sonoma,North Central,Northwest Interior
Lava_Beds,,Pershing,Western,Sonoma,North Central,Northwest Interior
Selenite,,Pershing,Western,Sonoma,North Central,Northwest Interior
Buffalo_Hills,,Washoe,Western,Buffalo/Skedaddle,Washoe-Lassen-Modoc,Lassen/South Washoe
Granites,,Washoe,Western,Buffalo/Skedaddle,Washoe-Lassen-Modoc,Lassen/South Washoe
Argenta,,Lander,Eastern,Shoshone,South Central,Central Great Basin
Izzenhood,,Lander,Eastern,Shoshone,South Central,Central Great Basin
Rock_Creek,,Elko,Eastern,Tuscarora,Elko Stewardship,Owyhee
Sheep_Creek,,Lander,Eastern,Shoshone,South Central,Central Great Basin
