Year,SG,SG_Hunter,BG,BG_Hunters,Chukar,CH_Hunters,HP,HP_Hunters,CQ,CQ_Hunter,GQ,GQ_Hunters,PH,PH_Hunters,Rabbit,Rabbit_Hunters
1972,17686,9099,1301,882,75520,14116,NA,NA,37111,7636,NA,NA,5274,3441,29682,7376
1973,24930,8536,2529,1237,131608,13936,NA,NA,41696,6532,NA,NA,5012,2887,28059,6476
1974,22924,9348,3409,1696,161813,17952,9625,2160,65674,8431,NA,NA,7188,3842,45926,9124
1975,16376,8331,2168,1534,89408,14292,2671,1185,104954,8790,NA,NA,8046,4117,58573,9122
1976,13902,5977,1752,1047,56440,9626,2020,870,68629,8694,44036,5923,5910,3469,53133,8800
1977,7561,4230,2257,1164,52245,7853,1503,606,71720,7825,37546,4435,4969,2987,71898,9592
1978,17693,6647,2663,1396,108775,12296,2234,796,104939,9050,52313,4675,5322,2946,99817,10491
1979,28228,8090,3123,1684,151270,13960,2665,1042,171972,11338,123822,6990,6072,3139,136502,11550
1980,14648,5895,1824,1112,218965,15481,4895,1465,138863,11128,83492,7432,6740,3305,105671,9904
1981,15522,6731,2916,1560,84498,11486,8671,1469,70882,9451,23723,5157,5424,4031,62831,8871
1982,13015,6150,1792,1501,55454,10738,2151,1257,54397,9620,16275,4959,3119,3325,52168,9386
1983,14495,6297,939,1379,79222,10979,2999,1105,88434,9575,47330,4801,2461,2412,45344,7375
1984,11555,5960,1183,1043,52243,9264,3299,1079,62981,8241,25726,3563,3110,2839,40406,6961
1985,NA,NA,1125,1063,19514,6842,1271,484,59756,7511,38547,3970,2314,1928,27266,5277
1986,3967,2361,1897,950,43555,9325,1802,774,49423,7384,25702,3826,2535,1731,25709,5481
1987,9104,3866,1694,1063,52640,10200,2609,983,51404,6810,24326,3295,1703,1223,33470,5745
1988,7564,3722,1856,1317,101194,13065,3888,1260,60398,6484,34190,3398,2758,1359,45215,6545
1989,9445,4320,2303,1225,82464,14545,1655,847,30632,5125,9067,2237,1246,1178,33341,5533
1990,13697,5331,2357,1291,75834,10941,3829,1247,21471,4336,5686,1967,1058,1054,38449,5298
1991,13371,5564,1161,1285,46700,11364,1526,858,32791,5195,13396,2593,1177,1373,23565,5059
1992,12871,5126,3179,1422,46780,9206,750,489,34265,4966,19249,2586,1041,1129,39893,4994
1993,9782,4352,1490,1141,24232,7519,368,377,63723,5874,46805,3324,681,952,25817,4504
1994,9004,4238,847,796,28563,6871,938,275,52044,5798,21382,2604,1973,1341,20035,3900
1995,7529,4042,1606,1127,62009,11613,1985,658,74223,7303,30453,3241,1117,735,17962,4030
1996,8111,3906,1969,919,61972,11041,1455,760,39989,5054,5384,1706,557,556,16694,3284
1997,5125,3471,1105,1113,36950,9178,1055,480,35194,5569,12827,2447,839,935,11783,3446
1998,5723,3277,1550,857,62289,10742,2830,750,62619,6814,29295,3176,1315,1047,18404,3346
1999,6070,3097,1702,997,105655,15586,8759,2069,54996,6909,19098,2676,990,1058,15183,3291
2000,4728,2520,925,844,61310,11721,4801,992,34757,5782,11413,2176,699,808,12114,2659
2001,2691,1708,1168,666,54350,8905,2223,697,35718,4006,17753,1905,1095,574,12672,2247
2002,3940,2412,1064,801,72545,10722,1504,789,24420,5006,4771,1715,1015,686,7554,2085
2003,4557,2177,1305,688,115738,12491,2266,892,49422,5939,19279,2351,1523,639,14638,2734
2004,5244,2194,833,523,76081,9134,1482,523,38353,3725,18587,1392,783,387,17604,2196
2005,3175,1526,2046,1268,120135,14727,2767,1613,35662,3352,20241,1443,338,227,18269,1554
2006,3701,1981,2822,1987,104408,15654,4334,1866,38557,4022,17861,1981,388,218,38727,1932
2007,4897,3197,1699,1643,61153,14448,1775,1114,44185,8403,14783,3928,344,360,4278,494
2008,5775,3271,1936,1670,61307,11735,1334,1023,53150,8262,16516,3258,463,588,15878,2691
2009,8944,4461,2807,1878,76851,14197,2272,1438,33139,4426,20640,3288,741,798,17553,3468
2010,7353,3827,1599,1375,83660,14770,3656,1300,29976,3937,18863,2672,722,547,11805,2587
2011,5295,2055,1084,864,105047,11273,3592,1095,38928,3076,25471,1959,664,353,11149,1920
2012,2743,1681,1241,1066,44768,9766,3057,1124,18532,2756,7632,1886,525,446,8559,2230
2013,1889,1354,837,759,44870,12584,823,587,12238,1841,8482,1895,120,129,5063,1259
2014,2776,1587,1542,837,73080,15382,1683,636,12463,2157,6715,1733,213,161,6345,1563
2015,3472,1145,708,562,58988,8721,1408,398,8108,1171,4422,1057,244,104,5451,1049
2016,2360,1127,580,426,75850,8666,973,324,8829,1291,5882,1029,109,64,5031,924
2017,2494,1430,986,640,77121,11569,2131,539,11889,1697,7637,1286,188,94,3995,816
