"Year","raven","rthawk","nharrier","pfalcon"
1975,-1.47184629197982,-1.47316811220016,-0.734368006335937,-1.66654706866525
1976,-1.36192673650144,-1.41523481250213,-0.734232630625927,-1.30942461810283
1977,-1.37256130753501,-1.36474066414777,-0.527915345159944,-1.40397149509274
1978,-1.3111458334713,-1.34569492781089,-0.800903760917049,-1.34557736834344
1979,-1.30465325646202,-1.13428643840592,-0.827403006230424,-1.33210361935578
1980,-1.23565128914935,-1.16525491614607,-0.639179472791442,-1.2364048075434
1981,-1.07606800219034,-1.06432691370557,-0.611696836002888,-1.20611322850011
1982,-1.00631186277417,-1.11141889030171,-0.576013649138862,-1.10138027912423
1983,-1.0239769955341,-1.03483302467088,-0.465870694480438,-0.963292156753895
1984,-0.963367663183982,-0.909938549840649,-0.509040353901187,-0.744139601139264
1985,-0.923110048173704,-0.927728282517852,-0.580877355439325,-0.989418393545477
1986,-0.886333167906438,-0.831425793739058,-0.265318853406989,-0.833754445008092
1987,-0.794107514042699,-0.485245294580084,-0.481038220090263,-0.249667215541111
1988,-0.682376137495057,-0.544588452991881,-0.664134964514238,-0.838986921586118
1989,-0.648787839430372,-0.753176020492226,-0.231025313356161,-0.653976320232104
1990,-0.43181263795626,-0.790705511506952,-0.802426588132948,0.452081811352587
1991,-0.535291895442177,-0.308553334999154,-0.85030537475022,-0.387327757032478
1992,-0.443625191039417,-0.555223791528266,1.05036128402707,0.113690667888183
1993,-0.386370202303555,-0.527714332210953,0.125119167134845,-1.0225753971741
1994,-0.436215691027626,-0.0531837619563239,-0.889245922358557,0.0566239294710724
1995,-0.275022388174211,0.309970896733229,-0.893144896996929,0.719532703308201
1996,-0.084258521956678,-0.00564353464007486,0.935399600736693,-0.799955777504401
1997,-0.0693666966788033,0.176460764046159,1.39447936593251,0.0724063333564824
1998,0.0631713022861642,-0.150193153653406,0.856366490114724,-0.611670555737993
1999,0.0631075201619311,0.248289209506673,1.46712644072596,0.0785557529504597
2000,-0.0350198407316881,-0.327619806073724,-0.339092354046543,0.291850748113215
2001,0.190221631364196,-0.0980005731482716,-1.01582033280698,0.862219270251022
2002,-0.0095151022185073,0.151643195080725,0.0704021796407365,-0.22255756159605
2003,0.231817795458639,-0.141746286826572,-0.605755351016536,-0.0469072565130326
2004,0.497915184460933,0.358199502109533,-1.00440031806623,-0.323867508371585
2005,0.513135418725687,0.72284998734743,0.579153019176135,0.303146938451255
2006,0.753430232580812,0.549182969462841,0.0612428378050499,1.31637676732298
2007,0.487885409716953,1.17130147195779,0.872444369420406,1.34726312277222
2008,0.67342638783641,0.222191147161604,-0.00747710936058343,0.613898994284104
2009,0.713002259191798,0.970527134579884,-0.733097167220962,1.15983866581397
2010,0.891704457376825,0.557446932030947,-0.828905330736716,0.938532899062294
2011,1.11456579270063,0.911168778386097,1.48935061474889,0.811677395883013
2012,1.19448439501572,1.20613236811819,1.87547838652005,0.44954463584584
2013,1.22254533205885,0.93667083638648,-0.631784091168757,0.62923304323988
2014,1.46071473400362,1.09601570068446,1.56031295841022,1.57488993196515
2015,1.46545730166104,1.47093809818121,0.164728664966713,1.42596199870999
2016,1.72945850524262,1.33170775491364,3.72493472499178,1.26292103109082
2017,1.75066170275608,1.58283149529918,0.795866280823957,1.90718892014088
2018,2.00852957492926,2.00534236134982,0.757855398435946,1.4962828026654
2019,1.74348717583056,2.54077457726066,-0.530148484558636,1.40590098852448
